customer_id,renta,condiciones_conduccion,vacaciones,sector,comunidad_autonoma,familia,tipo_combustible,uso_habitual,cambio,plaza_parking,frecuencia_uso,experiencia_conduccion,car_id,Maker,Version,Price,Year,Kms,Potencia,Caja_velocidades,presupuesto,tipo_combustible.1,Puertas,Plazas,Marca,target
2610,60000 - 100000,nieve,ciudad,Tecnología,Aragón,"Si, pequeña",diesel,uso particular habitual,Manual,No,diario,experto,1,Abarth 595,595C 1.4T JET TURISMO AUT.,17990,2021,63.037km,165CV,Automatico,"15,000-20,000",Gasolina,4,4,Abarth,1
4614,20000 - 35000,buen clima,playa,Salud,Galicia,"Si, grande",electrico,uso particular habitual,Manual,Si,ocasional,intermedio,3,Alfa Romeo Giulietta,1.6JTD Super 120,13890,2019,139.240km,120CV,Manual,"10,000-15,000",Diesel,4,5,Alfa,1
2461,20000 - 35000,nieve,montaña,Transporte y Logística,Extremadura,"Si, pequeña",electrico,uso particular habitual,Manual,No,diario,intermedio,6,Alfa Romeo Stelvio,2.2 Sprint RWD 190 Aut.,22490,2020,111.340km,190CV,Automatico,"20,000-30,000",Diesel,4,5,Alfa,1
795,35000-60000,nieve,playa,Comercio,Cataluña,"Si, pequeña",electrico,uso particular habitual,Automatico,No,diario,intermedio,12,Alfa Romeo Tonale,1.5 MHEV Sprint FWD,21790,2023,22.396km,130CV,Automatico,"20,000-30,000",Hibrido,4,5,Alfa,1
2955,-12000,nieve,montaña,Comercio,Baleares,"Si, pequeña",gasolina,uso particular ocasional,Automatico,No,diario,intermedio,14,Alfa Romeo Tonale,1.5 MHEV Sprint FWD,21790,2023,35.935km,130CV,Automatico,"20,000-30,000",Hibrido,4,5,Alfa,1
2604,35000-60000,off-road,montaña,Energía,La Rioja,No,gasolina,uso particular habitual,Automatico,Si,diario,novato,16,Alfa Romeo Tonale,1.5 MHEV Sprint FWD,22690,2023,23.814km,130CV,Automatico,"20,000-30,000",Hibrido,4,5,Alfa,1
2755,20000 - 35000,buen clima,montaña,Salud,Aragón,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si,semanal,experto,16,Alfa Romeo Tonale,1.5 MHEV Sprint FWD,22690,2023,23.814km,130CV,Automatico,"20,000-30,000",Hibrido,4,5,Alfa,1
4282,20000 - 35000,buen clima,montaña,Servicios Financieros,Andalucía,"Si, grande",diesel,uso particular habitual,Manual,Si,diario,intermedio,17,Alfa Romeo Tonale,1.5 MHEV Sprint FWD,22990,2023,16.373km,130CV,Automatico,"20,000-30,000",Hibrido,4,5,Alfa,1
3708,60000 - 100000,buen clima,playa,Entretenimiento y Medios,La Rioja,No,gasolina,uso particular ocasional,Manual,Si,semanal,experto,18,Audi A1,1.4TDI Adrenalin2,10890,2016,130.211km,90CV,Manual,"10,000-15,000",Diesel,4,5,Audi,1
4153,35000-60000,buen clima,playa,Comercio,Andalucía,"Si, grande",diesel,uso particular ocasional,Automatico,No,ocasional,novato,18,Audi A1,1.4TDI Adrenalin2,10890,2016,130.211km,90CV,Manual,"10,000-15,000",Diesel,4,5,Audi,1
374,35000-60000,nieve,ciudad,Salud,Asturias,"Si, pequeña",gasolina,uso particular habitual,Automatico,No,diario,intermedio,19,Audi A1,Sportback 1.0 TFSI Adrenalin,13990,2017,46.382km,95CV,Manual,"10,000-15,000",Gasolina,4,5,Audi,1
2022,60000 - 100000,off-road,montaña,Turismo y Ocio,Galicia,No,diesel,uso particular ocasional,Automatico,Si,diario,intermedio,25,Audi A1,Sportback 25 TFSI Advanced,15890,2020,82.041km,95CV,Manual,"15,000-20,000",Gasolina,4,5,Audi,1
4648,12000 - 20000,buen clima,montaña,Entretenimiento y Medios,Canarias,No,gasolina,uso particular habitual,Automatico,No,ocasional,experto,25,Audi A1,Sportback 25 TFSI Advanced,15890,2020,82.041km,95CV,Manual,"15,000-20,000",Gasolina,4,5,Audi,1
1130,35000-60000,buen clima,playa,Tecnología,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,No,diario,intermedio,29,Audi A1,Sportback 25 TFSI S line,20490,2022,28.911km,95CV,Manual,"20,000-30,000",Gasolina,4,5,Audi,1
4444,12000 - 20000,buen clima,playa,Servicios Financieros,País Vasco,"Si, grande",diesel,uso particular ocasional,Automatico,Si,ocasional,experto,30,Audi A1,Sportback 30 TFSI Adrenalin,18990,2020,53.777km,110CV,Manual,"15,000-20,000",Gasolina,4,5,Audi,1
3193,12000 - 20000,buen clima,ciudad,Energía,Aragón,"Si, grande",diesel,uso particular ocasional,Manual,No,semanal,intermedio,32,Audi A1,Sportback 30 TFSI Advanced,15990,2019,86.209km,116CV,Manual,"15,000-20,000",Gasolina,4,5,Audi,1
3958,20000 - 35000,nieve,montaña,Servicios Financieros,Murcia,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si,diario,experto,34,Audi A1,Sportback 30 TFSI S line,15890,2019,99.947km,116CV,Manual,"15,000-20,000",Gasolina,4,5,Audi,1
4484,100000,buen clima,ciudad,Entretenimiento y Medios,Andalucía,No,diesel,uso particular habitual,Manual,Si,diario,intermedio,44,Audi A3,Sportback 35TDI Black line,25490,2022,66.671km,150CV,Manual,"20,000-30,000",Diesel,4,5,Audi,1
357,35000-60000,off-road,montaña,Tecnología,Extremadura,"Si, pequeña",diesel,uso particular habitual,Manual,Si,diario,novato,46,Audi A4,30 TDI Advanced S tronic,20890,2021,134.954km,136CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi,1
2930,20000 - 35000,buen clima,montaña,Salud,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Automatico,No,diario,intermedio,50,Audi A4,Avant 30 TDI Advanced S tronic,21390,2020,86.325km,136CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi,1
678,35000-60000,nieve,montaña,Tecnología,Extremadura,"Si, pequeña",diesel,uso particular ocasional,Manual,Si,diario,experto,52,Audi A4,Avant 30 TDI Advanced S tronic,24090,2020,69.764km,136CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi,1
2308,-12000,buen clima,montaña,Entretenimiento y Medios,Cantabria,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si,ocasional,intermedio,52,Audi A4,Avant 30 TDI Advanced S tronic,24090,2020,69.764km,136CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi,1
3254,35000-60000,nieve,montaña,Energía,Andalucía,"Si, grande",gasolina,uso particular habitual,Manual,No,diario,intermedio,52,Audi A4,Avant 30 TDI Advanced S tronic,24090,2020,69.764km,136CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi,1
2708,35000-60000,buen clima,playa,Industria Construccion y Manufactura,Navarra,No,gasolina,uso particular ocasional,Manual,Si,diario,intermedio,53,Audi A4,Avant 30 TDI S line S tronic,30890,2022,52.058km,136CV,Automatico,"30,000-40,000",Hibrido,4,5,Audi,1
1095,20000 - 35000,buen clima,playa,Turismo y Ocio,Canarias,"Si, pequeña",gasolina,uso particular habitual,Manual,Si,ocasional,intermedio,60,Audi A5,Coupé 2.0 TFSI Q. ultra S tronic MH,23990,2018,132.781km,252CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi,1
4903,-12000,buen clima,montaña,Tecnología,Navarra,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si,semanal,intermedio,60,Audi A5,Coupé 2.0 TFSI Q. ultra S tronic MH,23990,2018,132.781km,252CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi,1
4311,-12000,buen clima,playa,Otros,Castilla-La Mancha,"Si, pequeña",hibrido,viajes largos,Manual,Si,diario,novato,61,Audi A5,Sportback 35 TDI Advanced S tronic,25690,2020,79.117km,163CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi,1
218,35000-60000,off-road,montaña,Servicios Financieros,Andalucía,No,gasolina,viajes largos,Manual,Si,diario,intermedio,64,Audi A6,2.0D I4 MHEV Standard 4WD Aut. 204,31890,2019,169.617km,286CV,Automatico,"30,000-40,000",Hibrido,4,5,Audi,1
4822,-12000,buen clima,montaña,Tecnología,Andalucía,"Si, grande",diesel,uso particular ocasional,Automatico,Si,semanal,intermedio,64,Audi A6,2.0D I4 MHEV Standard 4WD Aut. 204,31890,2019,169.617km,286CV,Automatico,"30,000-40,000",Hibrido,4,5,Audi,1
2723,-12000,buen clima,montaña,Tecnología,Cataluña,No,diesel,uso particular ocasional,Manual,No,diario,experto,67,Audi A6,50 TFSIe Sport quattro-ultra S tronic,40890,2021,29.532km,299CV,Automatico,"40,000-50,000",Hibrido,4,5,Audi,1
2324,20000 - 35000,buen clima,playa,Tecnología,Aragón,No,diesel,uso particular ocasional,Manual,No,diario,intermedio,70,Audi A6,Avant 40 TDI Sport S tronic (4.75),31390,2020,98.875km,204CV,Automatico,"30,000-40,000",Hibrido,4,5,Audi,1
1043,60000 - 100000,buen clima,ciudad,Salud,Asturias,No,diesel,uso particular ocasional,Manual,Si,semanal,intermedio,74,Audi A7,Sportback 50 TDI quattro tiptronic,35890,2019,154.316km,286CV,Automatico,"30,000-40,000",Hibrido,4,5,Audi,1
506,20000 - 35000,buen clima,ciudad,Salud,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si,semanal,intermedio,75,Audi A7,Sportback 50 TDI quattro tiptronic,47490,2020,36.312km,286CV,Automatico,"40,000-50,000",Hibrido,4,5,Audi,1
2766,20000 - 35000,nieve,playa,Comercio,Aragón,"Si, pequeña",electrico,uso particular ocasional,Manual,No,semanal,novato,77,Audi A8,50 TDI quattro tiptronic,50490,2020,91.139km,286CV,Automatico,"50,000+",Hibrido,4,5,Audi,1
